image_path,xmin,ymin,xmax,ymax,label
valparaiso_frame3330_jpg.rf.D3nKqkiDV73a125vKL54.jpg,168,440,195,459,car
valparaiso_frame3330_jpg.rf.D3nKqkiDV73a125vKL54.jpg,189,437,210,459,car
valparaiso_frame3330_jpg.rf.D3nKqkiDV73a125vKL54.jpg,287,611,318,651,car
valparaiso_frame3330_jpg.rf.D3nKqkiDV73a125vKL54.jpg,666,534,716,574,car
valparaiso_frame3330_jpg.rf.D3nKqkiDV73a125vKL54.jpg,379,641,406,671,car
valparaiso_frame3330_jpg.rf.D3nKqkiDV73a125vKL54.jpg,314,298,343,350,car
valparaiso_frame3330_jpg.rf.D3nKqkiDV73a125vKL54.jpg,174,439,207,463,car
valparaiso_frame3330_jpg.rf.D3nKqkiDV73a125vKL54.jpg,663,532,718,585,2
valparaiso_frame3330_jpg.rf.D3nKqkiDV73a125vKL54.jpg,7,679,99,720,2
valparaiso_frame3330_jpg.rf.D3nKqkiDV73a125vKL54.jpg,897,204,930,229,car
valparaiso_frame3330_jpg.rf.D3nKqkiDV73a125vKL54.jpg,83,438,122,466,car
valparaiso_frame3330_jpg.rf.D3nKqkiDV73a125vKL54.jpg,360,648,399,682,car
valparaiso_frame3330_jpg.rf.D3nKqkiDV73a125vKL54.jpg,644,164,682,190,car
valparaiso_frame3330_jpg.rf.D3nKqkiDV73a125vKL54.jpg,781,636,808,674,car
valparaiso_frame3330_jpg.rf.D3nKqkiDV73a125vKL54.jpg,967,198,980,220,car
valparaiso_frame3330_jpg.rf.D3nKqkiDV73a125vKL54.jpg,770,381,813,424,car
traffic_frame6750_jpg.rf.DLG9FRVDYLJe4SvPnJ1f.jpg,818,235,847,254,car
traffic_frame6750_jpg.rf.DLG9FRVDYLJe4SvPnJ1f.jpg,1206,250,1234,269,car
traffic_frame6750_jpg.rf.DLG9FRVDYLJe4SvPnJ1f.jpg,808,234,836,252,car
traffic_frame6750_jpg.rf.DLG9FRVDYLJe4SvPnJ1f.jpg,30,349,56,384,car
traffic_frame6750_jpg.rf.DLG9FRVDYLJe4SvPnJ1f.jpg,27,370,53,392,car
traffic_frame6750_jpg.rf.DLG9FRVDYLJe4SvPnJ1f.jpg,473,0,507,35,car
traffic_frame6750_jpg.rf.DLG9FRVDYLJe4SvPnJ1f.jpg,873,321,899,349,car
traffic_frame6750_jpg.rf.DLG9FRVDYLJe4SvPnJ1f.jpg,1100,259,1160,285,2
traffic_frame6750_jpg.rf.DLG9FRVDYLJe4SvPnJ1f.jpg,498,28,540,72,car
traffic_frame6750_jpg.rf.DLG9FRVDYLJe4SvPnJ1f.jpg,341,431,382,455,car
traffic_frame6750_jpg.rf.DLG9FRVDYLJe4SvPnJ1f.jpg,177,395,207,418,car
traffic_frame6750_jpg.rf.DLG9FRVDYLJe4SvPnJ1f.jpg,728,300,765,333,car
traffic_frame6750_jpg.rf.DLG9FRVDYLJe4SvPnJ1f.jpg,27,345,58,364,car
traffic_frame6750_jpg.rf.DLG9FRVDYLJe4SvPnJ1f.jpg,1220,219,1243,235,car
traffic_frame6750_jpg.rf.DLG9FRVDYLJe4SvPnJ1f.jpg,760,263,789,288,car
traffic_frame6750_jpg.rf.DLG9FRVDYLJe4SvPnJ1f.jpg,714,472,743,508,car
traffic_frame6750_jpg.rf.DLG9FRVDYLJe4SvPnJ1f.jpg,924,299,958,321,car
traffic_frame6750_jpg.rf.DLG9FRVDYLJe4SvPnJ1f.jpg,990,283,1022,306,car
traffic_frame6750_jpg.rf.DLG9FRVDYLJe4SvPnJ1f.jpg,170,347,208,365,car
traffic_frame6750_jpg.rf.DLG9FRVDYLJe4SvPnJ1f.jpg,649,502,681,534,car
brookhill_frame1080_jpg.rf.DJ6b5DQGtx55piTQh2Qi.jpg,12,482,48,499,car
brookhill_frame1080_jpg.rf.DJ6b5DQGtx55piTQh2Qi.jpg,62,482,100,498,car
brookhill_frame1080_jpg.rf.DJ6b5DQGtx55piTQh2Qi.jpg,318,510,356,530,car
brookhill_frame1080_jpg.rf.DJ6b5DQGtx55piTQh2Qi.jpg,473,577,500,608,car
brookhill_frame1080_jpg.rf.DJ6b5DQGtx55piTQh2Qi.jpg,522,530,542,561,car
brookhill_frame1080_jpg.rf.DJ6b5DQGtx55piTQh2Qi.jpg,527,662,547,696,car
brookhill_frame1080_jpg.rf.DJ6b5DQGtx55piTQh2Qi.jpg,495,384,513,415,car
brookhill_frame1080_jpg.rf.DJ6b5DQGtx55piTQh2Qi.jpg,295,354,333,371,car
brookhill_frame1080_jpg.rf.DJ6b5DQGtx55piTQh2Qi.jpg,347,348,379,367,car
brookhill_frame1080_jpg.rf.DJ6b5DQGtx55piTQh2Qi.jpg,389,332,423,354,car
brookhill_frame1080_jpg.rf.DJ6b5DQGtx55piTQh2Qi.jpg,384,304,420,327,car
