box_precision,box_recall,epoch,iou,iou/cl_0,lr-SGD,map,map_50,map_75,map_large,map_medium,map_per_class,map_small,mar_1,mar_10,mar_100,mar_100_per_class,mar_large,mar_medium,mar_small,step,train_bbox_regression_epoch,train_bbox_regression_step,train_classification_epoch,train_classification_step,train_loss_epoch,train_loss_step,val_bbox_regression,val_classification,val_loss
,,,,,0.001,,,,,,,,,,,,,,,0,,,,,,,,,
,,0,,,,,,,,,,,,,,,,,,38,,,,,,,0.36711975932121277,0.27511298656463623,0.6422327756881714
,,0,,,,,,,,,,,,,,,,,,38,0.4732344150543213,,0.3593858778476715,,0.8326205015182495,,,,
,,,,,0.001,,,,,,,,,,,,,,,39,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,49,,0.4735497832298279,,0.24786043167114258,,0.7214102149009705,,,
,,1,,,,,,,,,,,,,,,,,,77,,,,,,,0.35989072918891907,0.21848918497562408,0.5783799886703491
,,1,,,,,,,,,,,,,,,,,,77,0.3894667625427246,,0.18574771285057068,,0.5752145051956177,,,,
,,,,,0.001,,,,,,,,,,,,,,,78,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,99,,0.19484713673591614,,0.0924426019191742,,0.28728973865509033,,,
,,2,,,,,,,,,,,,,,,,,,116,,,,,,,0.32479092478752136,0.2917935848236084,0.6165844798088074
,,2,,,,,,,,,,,,,,,,,,116,0.3246396780014038,,0.14985252916812897,,0.47449225187301636,,,,
,,,,,0.001,,,,,,,,,,,,,,,117,,,,,,,,,
,,3,,,,,,,,,,,,,,,,,,149,,0.18677490949630737,,0.06744682788848877,,0.25422173738479614,,,
,,3,,,,,,,,,,,,,,,,,,155,,,,,,,0.30885788798332214,0.22366294264793396,0.5325208902359009
,,3,,,,,,,,,,,,,,,,,,155,0.26845288276672363,,0.11559757590293884,,0.38405048847198486,,,,
,,,,,0.001,,,,,,,,,,,,,,,156,,,,,,,,,
,,4,,,,,,,,,,,,,,,,,,194,,,,,,,0.2825491428375244,0.2465716153383255,0.5291208028793335
,,4,,,,,,,,,,,,,,,,,,194,0.22567898035049438,,0.09235838800668716,,0.31803739070892334,,,,
,,,,,0.001,,,,,,,,,,,,,,,195,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,199,,0.1881057620048523,,0.03664172813296318,,0.22474749386310577,,,
,,5,,,,,,,,,,,,,,,,,,233,,,,,,,0.3230421245098114,0.2510159909725189,0.5740581154823303
,,5,,,,,,,,,,,,,,,,,,233,0.21391898393630981,,0.07925815135240555,,0.29317712783813477,,,,
,,,,,0.001,,,,,,,,,,,,,,,234,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,249,,0.18405279517173767,,0.032755523920059204,,0.21680831909179688,,,
,,6,,,,,,,,,,,,,,,,,,272,,,,,,,0.3413318991661072,0.2807808220386505,0.6221127510070801
,,6,,,,,,,,,,,,,,,,,,272,0.2005695253610611,,0.062038347125053406,,0.2626078426837921,,,,
,,,,,0.001,,,,,,,,,,,,,,,273,,,,,,,,,
