epoch,lr-SGD,step,train_bbox_regression_epoch,train_bbox_regression_step,train_classification_epoch,train_classification_step,train_loss_epoch,train_loss_step,val_bbox_regression,val_classification,val_loss
,0.001,0,,,,,,,,,
0,,49,,0.6730438470840454,,1.139068365097046,,1.8121122121810913,,,
0,,99,,0.5969182252883911,,1.1141598224639893,,1.7110780477523804,,,
0,,104,,,,,,,0.604518711566925,1.1022216081619263,1.706739902496338
0,,104,0.6743665933609009,,1.1272437572479248,,1.8016105890274048,,,,
,0.001,105,,,,,,,,,
1,,149,,0.5923806428909302,,1.1244285106658936,,1.7168091535568237,,,
1,,199,,0.6199749708175659,,1.1187117099761963,,1.7386866807937622,,,
1,,209,,,,,,,0.6135788559913635,1.1194679737091064,1.7330470085144043
1,,209,0.6539472937583923,,1.1252256631851196,,1.7791732549667358,,,,
,0.001,210,,,,,,,,,
2,,249,,0.6100220680236816,,1.1154592037200928,,1.7254812717437744,,,
2,,299,,0.6663720607757568,,1.1204760074615479,,1.7868480682373047,,,
2,,314,,,,,,,0.5897552967071533,1.1093190908432007,1.6990742683410645
2,,314,0.6113021969795227,,1.1166248321533203,,1.7279272079467773,,,,
,0.001,315,,,,,,,,,
3,,349,,0.5775933861732483,,1.1082053184509277,,1.6857986450195312,,,
3,,399,,0.597174882888794,,1.096850872039795,,1.6940257549285889,,,
3,,419,,,,,,,0.5797032117843628,1.098942518234253,1.6786458492279053
3,,419,0.6008991003036499,,1.1066169738769531,,1.7075161933898926,,,,
,0.001,420,,,,,,,,,
4,,449,,0.6069644689559937,,1.10197114944458,,1.7089356184005737,,,
4,,499,,0.5739948749542236,,1.0907374620437622,,1.6647323369979858,,,
4,,524,,,,,,,0.5604284405708313,1.0879695415496826,1.6483978033065796
4,,524,0.5694561004638672,,1.0962713956832886,,1.6657280921936035,,,,
